Кнопка|Вопрос|Описание
acs|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
свс|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
fid|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
otb|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
ta|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
tra|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
абс|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
азн|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
ввод|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
выс|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
гот|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
знак|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
код|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
спс|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
тест|Укажите, какая из клавиш панели СПСВ отвечает за функцию более точного наблюдения движения воздушных судов, а также аэронавигационную информацию, например, азимут.|Индикатор, который показывает наличие как Traffic Advisory (TA), так и Resolution Advisory (RA) на экране TCAS.  Он информирует пилотов о том, что существует потенциальный конфликт с другим воздушным судном и что TCAS выдало рекомендации по разрешению конфликта. В данном режиме выдаются речевые и визуальные команды на выполнение рекомендуемого вертикального маневра.
